Author%%Message%%Timestamp
frahlg%%<@865885852266004501> and <@988724186153361408> . Really good work with the presentations this weekend. I have now reported all grades in ladok. Essentially, those that missed PR have gotten an E even though they've made good reports.%%2023-08-28 17:24:30
nedamaleki%%No. They are more than 11. They are 21. One didnt show up. I have graded them on my paper and will enter them soon. ☺️%%2023-08-28 07:07:47
frahlg%%According to this doc: https://docs.google.com/spreadsheets/d/1eV5gFz-wuU0mT_nIzsGVwTwXCKKU0vuee1xeb96n2VY/edit#gid=0%%2023-08-28 06:46:48
frahlg%%11, is that right?%%2023-08-28 06:46:36
frahlg%%I've now gone through the grading document and checked Canvas, also graded them in Ladok.%%2023-08-28 06:46:30
arslanmusaddiq%%We re in the office.%%2023-08-26 07:54:22
frahlg%%Are you in the office or from home?%%2023-08-26 07:54:11
frahlg%%Great!%%2023-08-26 07:54:05
arslanmusaddiq%%For grading%%2023-08-26 07:53:58
arslanmusaddiq%%https://docs.google.com/spreadsheets/d/1eV5gFz-wuU0mT_nIzsGVwTwXCKKU0vuee1xeb96n2VY/edit#gid=0%%2023-08-26 07:53:41
frahlg%%I'll join in just the first 10 minutes, I need to leave for a checking out a house%%2023-08-26 07:53:35
nedamaleki%%Yes it is on discord.%%2023-08-26 07:53:34
frahlg%%Ah see now. 🙂 Stages not started.%%2023-08-26 07:53:02
frahlg%%OK! Not on Discord??%%2023-08-26 07:51:35
nedamaleki%%We are ready and students are waiting in each rooms%%2023-08-26 07:50:03
arslanmusaddiq%%they are in presentation room 1 and 2.%%2023-08-26 07:50:00
arslanmusaddiq%%Yes👍 .%%2023-08-26 07:49:49
frahlg%%Are you ready? 🙂 Please make an announcement in the <#804009335721164822> channel (better if you do it as you're going to be there for all the presentations).%%2023-08-26 07:48:55
frahlg%%<@865885852266004501> <@988724186153361408> . I am online now.%%2023-08-26 07:48:13
frahlg%%Can you make a drive doc and share with students as before?%%2023-08-23 19:38:11
nedamaleki%%Sure☺️%%2023-08-22 19:36:38
frahlg%%OK, time to plan for the presentations! It seems that there might be about 24 reports to be done. I guess we will be able to plan for 10-14 and do two groups in parallell this Saturday?%%2023-08-22 11:34:19
arslanmusaddiq%%Also I found Jacob Törnvall was missing. I updated his grade also on Ladok.%%2023-07-13 15:21:47
arslanmusaddiq%%Hi <@367333391793782804> this student Love Suneson grade was missing. I updated her grade on Ladok. You can authorise it.%%2023-07-13 15:07:07
arslanmusaddiq%%Okay, I will also check to see if anyone who did not do it last time has completed it or not.%%2023-07-11 21:17:52
frahlg%%Yes I found it. Elias seems to have done the PR now, and I reported a grade.%%2023-07-11 21:15:37
arslanmusaddiq%%yes this is the document where we wrote grades and comments.%%2023-07-11 21:15:13
arslanmusaddiq%%https://docs.google.com/spreadsheets/d/1eV5gFz-wuU0mT_nIzsGVwTwXCKKU0vuee1xeb96n2VY/edit#gid=0%%2023-07-11 21:14:58
frahlg%%You had a document for all presentations, right? Where you put some comments etc?%%2023-07-11 20:56:56
frahlg%%There's this guy Elias Soprani.%%2023-07-11 20:55:10
frahlg%%No I checked as well. He haven't done them,%%2023-07-11 20:54:50
arslanmusaddiq%%<@367333391793782804> I cannot find a peer review or a comment from student Teodor Widerberg on any report. The student said ha did a peer review. In Canvas, the student who did not write a comment on another student's report has an exclamation mark (!). I only see exclamation mark (!) where his name is appearing.%%2023-07-11 19:14:21
frahlg%%So I thought I did everyone, but quite many missing%%2023-07-11 15:35:58
frahlg%%I fixed it. It was my mistake, Ladok just defaults of showing 100 at a time%%2023-07-11 15:35:45
frahlg%%Also. We should have put C at more students I guess. When checking the study guide it’s more or less the standard if they’re just moderate active and have done everything https://lnu-ftk.instructure.com/courses/255/pages/study-guide%%2023-07-11 15:12:25
arslanmusaddiq%%Okay  👍%%2023-07-11 15:11:25
frahlg%%Just heading to the hotel in 20 min%%2023-07-11 15:11:03
arslanmusaddiq%%<@865885852266004501> can you check Ladok? the ones you graded are shown in "draft" in my Ladok.%%2023-07-11 15:10:57
frahlg%%Yes I’ll check%%2023-07-11 15:10:48
arslanmusaddiq%%<@367333391793782804> I checked Ladok, and saw we already graded those students that mentioned they did not receive a grade. Can you check if we missed something in Ladok?%%2023-07-11 14:51:14
quartie%%<@865885852266004501> <@988724186153361408> You rock!! 😍%%2023-07-11 11:43:04
arslanmusaddiq%%Yes, I will check tomorrow if any of those 13 have done quizzes or PR then will grade them in Ladok.%%2023-07-10 18:47:12
frahlg%%Oh that’s wonderful! This makes it much more streamlined.%%2023-07-10 18:46:52
nedamaleki%%Yes ☺️%%2023-07-10 18:46:23
frahlg%%So they are also in Ladok?%%2023-07-10 18:46:11
nedamaleki%%😞%%2023-07-10 18:45:29
frahlg%%I am melting away in the heat. Today has been really hot, and no AC in the conference%%2023-07-10 18:45:16
frahlg%%You’re already done? Great work!%%2023-07-10 18:44:44
nedamaleki%%Arslan and I did all grading both in the Excel file and Ladok.  Only 13 students (shown with the purple color) are not graded because they have not done either the Quizzes or Peer Review (everything is documented in the Excel file).%%2023-07-10 18:40:50
frahlg%%You could drop a message to the student and say that they need to finish this ASAP (today).%%2023-07-10 12:08:50
frahlg%%No grade at all. Quizzes and PR are mandatory.%%2023-07-10 12:08:25
arslanmusaddiq%%<@367333391793782804> If a student has not completed all the quizzes or has not done a peer review, how should we consider it when grading? For example, if a student receives a C on the project report but has not completed all the quizzes or a peer review, how will the grade be affected?%%2023-07-10 12:06:16
frahlg%%What matters is the comments on Canvas. My suggestion is to have a set of standard sentences which you can copy/paste, "Good project, nice to see" etc etc. "This could have been elaborated " ...%%2023-07-10 08:23:05
frahlg%%So no code reviewing etc. 🙂%%2023-07-10 08:21:46
frahlg%%And please don't be too detailed (I know both of you are 🙂 ). Put just a small amount of time, they are all very streamlined in format so it should be quick to check that all sections are there. And, better to let them pass than fail. It's "just" a summer course.%%2023-07-10 08:21:36
frahlg%%If there's any problems just let me know! I am available (listening on keynote at the same time ).%%2023-07-10 08:19:32
nedamaleki%%Hi. Sounds good 👍🏻%%2023-07-10 08:18:58
arslanmusaddiq%%Okay yes we will follow this way as you suggested. I am checking my ladok now. <@865885852266004501> we can divide them and grade those which we listened during presentation sessions.%%2023-07-10 08:14:41
frahlg%%Take help from <@257595609387761664> if needed.%%2023-07-10 08:12:21
frahlg%%all those that you are unsure about, flag them and I can have a look.%%2023-07-10 08:11:58
frahlg%%You decide on the best workflow. But optimally is if you also put the grade directly in Ladok as the last part. Then I can go in and authorise it (as an examiner).%%2023-07-10 08:11:36
frahlg%%Or . You could make a google drive doc with all information. Or use the same you've already have and just add new columns.%%2023-07-10 08:10:37
frahlg%%Or you can find your own workflow of course, if you divide the papers between you my guess is that you might be done in a couple of hours as you just need to check briefly all reports. Just skim it over.%%2023-07-10 08:09:52
